,Feature,Coefficient,Intercept,R^2 Score,RMSE
0,Pr,0.4496036183888516,-1.9746224641067915,0.049395967480402536,0.9749892473866558
1,La,-0.42951543310134005,3.9177809671564336,0.1687003455483731,0.9117563569570694
2,Gd,0.8564256609293615,-3.8587108631313995,0.4939341594462934,0.7113830476991327
3,Nd,-0.47222961196032043,3.9929533420503898,0.15432532685019595,0.9196057161358905
4,Ce,0.19805267480151517,0.042706601938459876,0.0130296802153822,0.9934637989300958
5,Sm,-0.3213009758723391,2.9945133981750733,0.05409903551198603,0.972574400489759
6,Y,0.258194146661933,-0.6049515991789465,0.03499837340757872,0.9823449631328199
7,EN,0.28638554144021655,-0.4101733266765324,0.059052749182999964,0.9700243557854618
8,R,-0.714125033206167,5.618303756133044,0.3033540010614595,0.8346532207680867
9,IE,1.628563905941313,-9.069698369699763,0.8017483166515655,0.44525462754297623
10,LAS,0.309508898430924,-0.8018230621546947,0.028698267040788483,0.9855464133967571
11,M,0.009812036082854275,1.074588143286832,6.561897922163773e-05,0.9999671899721402
12,E,-0.3507663265751794,3.2440519223777606,0.09782251159251054,0.9498302418893018
13,V,0.9599913886129816,0.04517058858812395,0.9215834662110804,0.2800295230666216
14,CoO,0.6024240833067662,0.44887181891354677,0.3629147761479974,0.798176185971495
15,BaO,0.9654612501447729,0.03899499647630411,0.9321154255311079,0.26054668385702406
16,LnO,0.9660325003231098,0.038350042655314276,0.9332187916805185,0.25842060351195206
17,LnBa,0.9225242600882652,0.08747178799234656,0.8510510104514006,0.38593910082887345
18,all,-2.9496148616153826,103.5589897418125,1.0,1.664631959167119e-14
