,Pr,La,Gd,Nd,Ce,Sm,Y,EN,R,IE,LAS,M,E,V,CoO,BaO,LnO,LnBa
Pr,1.0,-0.4950613517375507,0.20491151654844422,-0.14430112929791977,-0.10302289791371753,-0.2660760742274753,0.25250804606783633,0.017015923844368456,-0.3684971610285956,0.34261520839333204,-0.06771873012661705,-0.16447977967778513,-0.5182442566287935,0.14378131493646673,-0.26481112720579825,0.256216191879913,0.22761932012912794,0.3605452115905053
La,-0.4950613517375507,1.0,-0.3866054436973961,-0.40116925327729563,0.13205895943355955,-0.2433747879460747,0.05453186228486227,-0.8394301264361981,0.8890603990632517,-0.27979575678225055,-0.4420862830552993,-0.2461086492561957,0.2787788276658149,-0.24120593258024356,0.23245581364388712,-0.3629215963447432,-0.2983540989691118,-0.36673153554624255
Gd,0.20491151654844422,-0.3866054436973961,1.0,-0.06093972350353197,-0.0005044365145888852,-0.2173213614789335,-0.4746498954565418,0.3790793046271555,-0.4885935588008679,0.506617136895572,-0.06918082139357004,0.6229800348044007,-0.05353718466389827,0.6214071587269602,0.229377546722906,0.6754198074651261,0.6477648039876638,0.6575432438208657
Nd,-0.14430112929791977,-0.40116925327729563,-0.06093972350353197,1.0,-0.45889398225678074,0.2968021750978092,-0.38270759552596884,0.6157285128803192,-0.34292818007253945,-0.47609505171590105,0.41528216869318696,0.3983308354078132,-0.054341833562058905,-0.4670995302029378,-0.6026754180524383,-0.3729010081514064,-0.433765957750286,-0.3883386675059288
Ce,-0.10302289791371753,0.13205895943355955,-0.0005044365145888852,-0.45889398225678074,1.0,-0.389503465809381,0.017143528052771015,-0.26764450916985644,0.45016280354590205,-0.01740471037288534,-0.7458913613476873,-0.10906602333900219,0.3647054165986407,0.07307363186030102,0.30892160249682754,-0.009477065880327151,0.01868910041007884,-0.07732151359358683
Sm,-0.2660760742274753,-0.2433747879460747,-0.2173213614789335,0.2968021750978092,-0.389503465809381,1.0,-0.2811644112164478,0.5710351753077351,-0.35772615101427085,-0.3821862927325582,0.598319596399514,0.3291626958612175,0.21375545822768363,-0.2580936909576584,-0.1301458882309526,-0.2687955693861811,-0.2791821228835683,-0.27972371039317184
Y,0.25250804606783633,0.05453186228486227,-0.4746498954565418,-0.38270759552596884,0.017143528052771015,-0.2811644112164478,1.0,-0.3976328599519859,0.024456209129425734,0.5040361084337677,0.22675223326486943,-0.9679858738202525,-0.39499299159672774,0.2524733679806136,0.190330580291764,0.24343478187816994,0.2669042165615597,0.2801407147733127
EN,0.017015923844368456,-0.8394301264361981,0.3790793046271555,0.6157285128803192,-0.26764450916985644,0.5710351753077351,-0.3976328599519859,1.0,-0.8334546430822776,-0.0005036801665090178,0.580982695586511,0.5629758757624947,-0.006791422123084061,0.09727244815423985,-0.2088170454901566,0.18257394273205377,0.1212889815507166,0.1446044829708598
R,-0.3684971610285956,0.8890603990632517,-0.4885935588008679,-0.34292818007253945,0.45016280354590205,-0.35772615101427085,0.024456209129425734,-0.8334546430822776,1.0,-0.46305965228351703,-0.7121536473929285,-0.2622807660190942,0.3397257476435746,-0.43245402616943507,0.08281567880721567,-0.5461502942052183,-0.4894010800275921,-0.5571927854303662
IE,0.34261520839333204,-0.27979575678225055,0.506617136895572,-0.47609505171590105,-0.01740471037288534,-0.3821862927325582,0.5040361084337677,-0.0005036801665090178,-0.46305965228351703,1.0,0.22726007369693488,-0.3208254306153043,-0.3866156407216232,0.8934174421558885,0.4886427187685544,0.9208157311631516,0.9227879219818758,0.9312419610077921
LAS,-0.06771873012661705,-0.4420862830552993,-0.06918082139357004,0.41528216869318696,-0.7458913613476873,0.598319596399514,0.22675223326486943,0.580982695586511,-0.7121536473929285,0.22726007369693488,1.0,-0.06201406976900742,-0.27981972801528027,0.16401476351673416,-0.08038637737505212,0.22257930400176737,0.19236489246618804,0.23237659181412365
M,-0.16447977967778513,-0.2461086492561957,0.6229800348044007,0.3983308354078132,-0.10906602333900219,0.3291626958612175,-0.9679858738202525,0.5629758757624947,-0.2622807660190942,-0.3208254306153043,-0.06201406976900742,1.0,0.30367096899485524,-0.07896585421396494,-0.14902005774084287,-0.04772759206844374,-0.08121790903794554,-0.08267791902427907
E,-0.5182442566287935,0.2787788276658149,-0.05353718466389827,-0.054341833562058905,0.3647054165986407,0.21375545822768363,-0.39499299159672774,-0.006791422123084061,0.3397257476435746,-0.3866156407216232,-0.27981972801528027,0.30367096899485524,1.0,-0.32620530513269574,-0.07066118624248913,-0.36941242138166713,-0.3761375798772306,-0.3737409484050915
V,0.14378131493646673,-0.24120593258024356,0.6214071587269602,-0.4670995302029378,0.07307363186030102,-0.2580936909576584,0.2524733679806136,0.09727244815423985,-0.43245402616943507,0.8934174421558885,0.16401476351673416,-0.07896585421396494,-0.32620530513269574,1.0,0.7213370471585812,0.9761061594571934,0.9892236822030849,0.9443991365104557
CoO,-0.26481112720579825,0.23245581364388712,0.229377546722906,-0.6026754180524383,0.30892160249682754,-0.1301458882309526,0.190330580291764,-0.2088170454901566,0.08281567880721567,0.4886427187685544,-0.08038637737505212,-0.14902005774084287,-0.07066118624248913,0.7213370471585812,1.0,0.5536198491545203,0.6175962424232265,0.5014908943157098
BaO,0.256216191879913,-0.3629215963447432,0.6754198074651261,-0.3729010081514064,-0.009477065880327151,-0.2687955693861811,0.24343478187816994,0.18257394273205377,-0.5461502942052183,0.9208157311631516,0.22257930400176737,-0.04772759206844374,-0.36941242138166713,0.9761061594571934,0.5536198491545203,1.0,0.9956923179947398,0.9781787880580802
LnO,0.22761932012912794,-0.2983540989691118,0.6477648039876638,-0.433765957750286,0.01868910041007884,-0.2791821228835683,0.2669042165615597,0.1212889815507166,-0.4894010800275921,0.9227879219818758,0.19236489246618804,-0.08121790903794554,-0.3761375798772306,0.9892236822030849,0.6175962424232265,0.9956923179947398,1.0,0.9706791278222389
LnBa,0.3605452115905053,-0.36673153554624255,0.6575432438208657,-0.3883386675059288,-0.07732151359358683,-0.27972371039317184,0.2801407147733127,0.1446044829708598,-0.5571927854303662,0.9312419610077921,0.23237659181412365,-0.08267791902427907,-0.3737409484050915,0.9443991365104557,0.5014908943157098,0.9781787880580802,0.9706791278222389,1.0
